Date,Description,Amount,Type,Category
2026-01-01,Salary credited from CypherSOL,60000.0,CREDIT,Salary
2026-01-01,Zomato,,DEBIT,Take-out
2026-01-01,CityFlo,,DEBIT,Transport
2026,Flipkart,1838.18,DEBIT,Shopping
Jan-1,Credit Card Bill,1642.72,DEBIT,Interest-Payments
1st January,Loan Bill,658.7,DEBIT,Interest-Payments
2026-01-01,Fresh Fruits & Veg Co.,719.82,charge,Groceries
2026-01-01,Flipkart,1382.85,charge,Shopping


2026-02-01,Swiggy,1107.8,DEBIT,Take-out
2026-02-01,Flipkart,1887.44,DEBIT,Shopping


2026-02-01,Electricity,1113.02,DEBIT,Utilities
2026-02-01,Electricity,1534.24,DEBIT,Utilities
2026-02-01,Wifi-bill,382.22,DEBIT,Utilities
2026-02-01,Swiggy,1395.02,DEBIT,Take-out
2026-02-01,Loan Bill,1878.93,DEBIT,Interest-Payments
2026-02-01,Credit Card Bill,1370.84,DEBIT,Interest-Payments
2026-02-01,Ram's General store,1823.22,DEBIT,Groceries
2026-02-01,Amazon Mrktplace,705.07,DEBIT,Shopping
2026-02-02,Ram's General store,404.02,DEBIT,Groceries
2026-02-02,Swiggy,971.13,DEBIT,Take-out
2026-02-02,Swiggy,946.96,DEBIT,Take-out
2026-02-02,Uber,710.93,DEBIT,Transport
2026-02-02,Fresh Fruits & Veg Co.,379.59,DEBIT,Groceries
2026-02-02,Loan Bill,1937.83,DEBIT,Interest-Payments
2026-02-02,Zomato,211.74,DEBIT,Take-out
2026-03-01,Salary credited from CypherSOL,60000.0,CREDIT,Salary
2026-03-01,Amazon Mrktplace,1450.62,DEBIT,Shopping
2026-03-01,Uber,1160.34,DEBIT,Transport
2026-03-01,Loan Bill,678.88,DEBIT,Interest-Payments
2026-03-01,Ola,690.03,DEBIT,Transport
2026-03-01,Amazon Mrktplace,1023.5,DEBIT,Shopping
2026-03-01,Loan Bill,1408.07,DEBIT,Interest-Payments
2026-03-01,Big Bazar Retail,1745.82,DEBIT,Groceries
2026-03-01,Loan Bill,1826.21,DEBIT,Interest-Payments
2026-03-01,Swiggy,623.15,DEBIT,Take-out
2026-03-01,Credit Card Bill,425.07,DEBIT,Interest-Payments
2026-03-01,Swiggy,913.07,DEBIT,Take-out
