Date,Description,Amount,Type,Category
2024-01-01,Netflix subscription,362.51,DEBIT,Entertainment
2024-01-01,DMart Andheri West,256.66,DEBIT,Groceries
2024-01-01,BigBasket order,368.86,DEBIT,Groceries
2024-01-01,BigBasket order,421.14,DEBIT,Groceries
2024-01-01,House rent transfer to landlord,24000.00,DEBIT,Rent
2024-01-01,Airtel Fibre broadband,815.14,DEBIT,Utilities
2024-01-02,Steam games purchase,340.91,DEBIT,Entertainment
2024-01-02,BigBasket order,591.19,DEBIT,Groceries
2024-01-02,Nature's Basket,423.65,DEBIT,Groceries
2024-01-02,Amazon.in order,745.81,DEBIT,Shopping
2024-01-02,Swiggy order,333.15,DEBIT,Take-out
2024-01-02,Starbucks Powai,369.05,DEBIT,Take-out
2024-01-02,Swiggy order,315.27,DEBIT,Take-out
2024-01-03,Nature's Basket,513.09,DEBIT,Groceries
2024-01-03,Amazon.in order,2626.62,DEBIT,Shopping
2024-01-03,Decathlon Powai,1402.85,DEBIT,Shopping
2024-01-03,Flipkart order,387.28,DEBIT,Shopping
2024-01-03,Decathlon Powai,2031.73,DEBIT,Shopping
2024-01-03,CityFlo monthly pass,113.59,DEBIT,Transport
2024-01-03,Mahanagar Gas bill,197.59,DEBIT,Utilities
2024-01-03,Airtel Fibre broadband,879.52,DEBIT,Utilities
2024-01-04,DMart Andheri West,1079.30,DEBIT,Groceries
2024-01-04,Nature's Basket,508.00,DEBIT,Groceries
2024-01-04,Indian Oil fuel,107.64,DEBIT,Transport
2024-01-04,Mahanagar Gas bill,282.61,DEBIT,Utilities
2024-01-04,Mahanagar Gas bill,492.15,DEBIT,Utilities
2024-01-05,Spotify Premium,592.60,DEBIT,Entertainment
2024-01-05,DMart Andheri West,549.99,DEBIT,Groceries
2024-01-05,HDFC Home Loan EMI,12500.00,DEBIT,Loan-Payments
2024-01-05,Flipkart order,758.88,DEBIT,Shopping
2024-01-05,Croma Electronics,537.74,DEBIT,Shopping
2024-01-05,Uber ride,392.67,DEBIT,Transport
2024-01-05,CityFlo monthly pass,373.35,DEBIT,Transport
2024-01-05,Mumbai Metro recharge,108.13,DEBIT,Transport
2024-01-06,Steam games purchase,706.85,DEBIT,Entertainment
2024-01-06,BigBasket order,452.42,DEBIT,Groceries
2024-01-06,BigBasket order,635.17,DEBIT,Groceries
2024-01-06,DMart Andheri West,1086.68,DEBIT,Groceries
2024-01-06,Myntra order,785.64,DEBIT,Shopping
2024-01-06,Decathlon Powai,2549.54,DEBIT,Shopping
2024-01-06,Amazon.in order,2521.46,DEBIT,Shopping
2024-01-06,Airtel Fibre broadband,662.46,DEBIT,Utilities
2024-01-07,Netflix subscription,531.82,DEBIT,Entertainment
2024-01-07,DMart Andheri West,457.81,DEBIT,Groceries
2024-01-07,BigBasket order,413.80,DEBIT,Groceries
2024-01-07,Credit Card bill payment,6800.00,DEBIT,Loan-Payments
2024-01-07,Cafe Coffee Day,266.33,DEBIT,Take-out
2024-01-07,Behrouz Biryani,323.24,DEBIT,Take-out
2024-01-07,Uber ride,168.15,DEBIT,Transport
2024-01-07,Water tax payment,345.75,DEBIT,Utilities
2024-01-08,More Supermarket,429.88,DEBIT,Groceries
2024-01-08,Reliance Fresh,402.63,DEBIT,Groceries
2024-01-08,Nature's Basket,495.91,DEBIT,Groceries
2024-01-08,Starbucks Powai,416.44,DEBIT,Take-out
2024-01-08,MSEB electricity bill,459.10,DEBIT,Utilities
2024-01-09,Spotify Premium,674.83,DEBIT,Entertainment
2024-01-09,PVR Cinemas,600.97,DEBIT,Entertainment
2024-01-09,Nature's Basket,343.78,DEBIT,Groceries
2024-01-09,Decathlon Powai,1779.54,DEBIT,Shopping
2024-01-09,CityFlo monthly pass,401.46,DEBIT,Transport
