Date,Description,Amount,Type,Category
2025-07-01,Salary credited from Cyphersol Technologies,92000.00,CREDIT,Salary
2025-07-01,House rent transfer to landlord,24000.00,DEBIT,Rent
2025-07-02,DMart Andheri West,1840.25,DEBIT,Groceries
2025-07-02,Swiggy order,445.00,DEBIT,Take-out
2025-07-03,Uber ride,268.40,DEBIT,Transport
2025-07-03,Amazon.in order,,DEBIT,Shopping
2025-07-04,Netflix subscription,abc,DEBIT,Entertainment
2025-07-04,Jio postpaid bill,N/A,DEBIT,Utilities
2025-07-05,Refund adjustment entry,-500.00,DEBIT,Shopping

2025-07-05,BigBasket order,2310.75,DEBIT,Groceries
2025-07-06,HP Petrol Pump,2000.00,DEBIT,Transport
2025-02-30,Zomato order,612.00,DEBIT,Take-out
2025-13-05,PVR Cinemas,780.00,DEBIT,Entertainment
05/07/2025,Croma Electronics,5400.00,DEBIT,Shopping
July 6 2025,Mumbai Metro recharge,300.00,DEBIT,Transport
2025-07-07,MSEB electricity bill,1620.00,DEBIT,Utilities
2025-07-07,Cafe Coffee Day,310.00,DEBIT,Take-out
2025-07-08,HDFC Home Loan EMI,12500.00,PAYMENT,Loan-Payments
2025-07-08,Cashback from Swiggy,120.00,credit,Refund
2025-07-09,Ola Cabs,410.00,,Transport
2025-07-09,,899.00,DEBIT,Shopping
2025-07-10,Reliance Fresh,1275.50,DEBIT,
2025-07-10,Spotify Premium,199.00,DEBIT,Entertainment
2025-07-11,Dominos Pizza,649.00,DEBIT,Take-out
2025-07-11,Truncated row here,500.00
  2025-07-12  ,  Myntra order  ,  1450.00  ,  DEBIT  ,  Shopping  

2025-07-12,Mahanagar Gas bill,740.00,DEBIT,Utilities
2025-07-13,Nature's Basket,1980.00,DEBIT,Groceries
2025-07-13,Airtel Fibre broadband,1099.00,DEBIT,Utilities
2025-07-14,Decathlon Powai,3200.00,DEBIT,Shopping
2025-07-14,Decathlon Powai,3200.00,DEBIT,Shopping
